Диагностика	от 10 минут	бесплатно	
Чистка после попадания влаги	от 20 минут	1000 Р	
Замена дисплея	60 минут	3500 Р	
Замена тачскрина (переднего стекла)	60 минут	3500 Р	
Замена задней крышки	60 минут	2000 Р	
Замена разъема зарядки	60 минут	1800 Р	
Замена аккумулятора	60 минут	1800 Р	
Замена разговорного (слухового) динамика	60 минут	1200 Р	
Замена микрофона	60 минут	1800 Р	
Замена музыкального(полифонического) динамика	60 минут	1500 Р	
Замена камеры	60 минут	2000 Р	
Ремонт кнопки включения	60 минут	1800 Р	
Замена разъема гарнитуры	60 минут	2000 Р	
Перепайка микросхем		от 1500 Р	
Прошивка	от 20 минут	500 Р	
