Диагностика	от 10 минут	бесплатно
Чистка после попадания влаги	от 20 минут	990 Р
Бронестекло 2D / 10D	5 минут	500/ 1000 Р
Замена на новый		от 5000 Р
Замена стекла	20 минут	7 990 Р
Замена экрана (копия)	20 минут	9 490 р
Замена экрана (оригинал)	20 минут	16 490 Р
Замена заднего стекла, задней крышки	3 часа	4 990 Р
Замена корпуса	3 часа	7 990 Р
Замена аккумулятора	40 минут	2 990 Р
Замена разъема зарядки	40 минут	3 190 Р
Замена слухового динамика	30 минут	2 690 Р
Замена микрофона	20 минут	3 190 Р
Замена  динамика	15 минут	2 490 Р
Замена разъема наушников	40 минут	3 190 Р
Замена стекла камеры	30 минут	2 490 Р
Замена задней камеры	30 минут	6 490 Р
Замена передней камеры	30 минут	4 990 Р
Ремонт кнопки включения	60 минут	2 990 Р
Замена шлейфа кнопок громкости и переключения вибро	30 минут	2 990 Р
Замена датчика приближения	20 минут	2 990 Р
Замена вибромотора	30 минут	2 990 Р
Замена модуля Wi-Fi	1-2 дня	8 990 Р
Ремонт цепи подсветки	1-2 дня	7000 Р
Перепайка микросхем	1-2 дня	от 2000 Р
Замена контроллера питания	1-2 дня	8000 Р
Восстановление сети	1-2 дня	9000 Р
Восстановление цепи заряда	1-2 дня	8000 Р
Перепайка аудио контроллера(аудио кодека)	1-2 дня	8000 Р
Прошивка	30 минут	490 Р
Разблокировка iCloud/Apple id		6 500 Р
